,Utility ID,Utility Name,Plant Code,Plant Name,State,Generator ID,Technology,Ownership,Nameplate Capacity (MW),Plant Balance,Retirement Year,Total Cost of Electricity Excluding ADIT ($/MWh),Current Designation,Predicted Retirement Year,Profits,CF Offset,Owner #1,% Owned #1,Owner #2,% Owned #2,Owner #3,% Owned #3,Owner #4,% Owned #4,Owner #5,% Owned #5
6688,15298,Talen Montana LLC,6076.0,Colstrip,MT,4,Conventional Steam Coal,J,778.0,,,,2020 Vulnerable,2025.0,,,NorthWestern Energy LLC - (MT),0.3,Portland General Electric Co,0.2,Puget Sound Energy Inc,0.25,Avista Corp,0.15,,
6689,13337,Nebraska Public Power District,6077.0,Gerald Gentleman,NE,1,Conventional Steam Coal,S,681.3,,,,2020 Vulnerable,2030.0,,,,,,,,,,,,
6690,13337,Nebraska Public Power District,6077.0,Gerald Gentleman,NE,2,Conventional Steam Coal,S,681.3,,,,Other Remaining,,,,,,,,,,,,,
6700,22129,Somerset Operating Co LLC,6082.0,Somerset Operating Co LLC,NY,1,Conventional Steam Coal,S,655.1,,,,,,,,,,,,,,,,,
6704,13756,Northern Indiana Pub Serv Co,6085.0,R M Schahfer,IN,14,Conventional Steam Coal,S,540.0,,,96.77129143,,,,,,,,,,,,,,
6705,13756,Northern Indiana Pub Serv Co,6085.0,R M Schahfer,IN,15,Conventional Steam Coal,S,556.4,,,76.27366343,,,,,,,,,,,,,,
6708,13756,Northern Indiana Pub Serv Co,6085.0,R M Schahfer,IN,17,Conventional Steam Coal,S,423.5,,,62.43097757,,,,,,,,,,,,,,
6709,13756,Northern Indiana Pub Serv Co,6085.0,R M Schahfer,IN,18,Conventional Steam Coal,S,423.5,,,66.86174772,,,,,,,,,,,,,,
6724,12199,Montana-Dakota Utilities Co,6089.0,Lewis & Clark,MT,1,Conventional Steam Coal,S,50.0,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
6727,13781,Northern States Power Co - Minnesota,6090.0,Sherburne County,MN,1,Conventional Steam Coal,S,765.3,107891686.0,2025.0,36.53177486,,,,,,,,,,,,,,
6728,13781,Northern States Power Co - Minnesota,6090.0,Sherburne County,MN,2,Conventional Steam Coal,S,765.3,39114221.84,2022.0,40.48903733,,,,,,,,,,,,,,
6729,13781,Northern States Power Co - Minnesota,6090.0,Sherburne County,MN,3,Conventional Steam Coal,J,938.7,217762429.4,2034.0,39.80707304,2020 Vulnerable,2030.0,,,Northern States Power Co - Minnesota,0.59,Southern Minnesota Mun P Agny,0.41,,,,,,
6732,6526,FirstEnergy Generation Corp,6094.0,FirstEnergy Bruce Mansfield,PA,1,Conventional Steam Coal,S,913.7,,,,,,,,,,,,,,,,,
6733,6526,FirstEnergy Generation Corp,6094.0,FirstEnergy Bruce Mansfield,PA,2,Conventional Steam Coal,S,913.7,,,,,,,,,,,,,,,,,
6734,6526,FirstEnergy Generation Corp,6094.0,FirstEnergy Bruce Mansfield,PA,3,Conventional Steam Coal,S,913.7,,,,,,,,,,,,,,,,,
6735,14063,Oklahoma Gas & Electric Co,6095.0,Sooner,OK,1,Conventional Steam Coal,S,569.0,,,,Other Remaining,,,-11.0,,,,,,,,,,
6736,14063,Oklahoma Gas & Electric Co,6095.0,Sooner,OK,2,Conventional Steam Coal,S,569.0,,,,Other Remaining,,,,,,,,,,,,,
6737,14127,Omaha Public Power District,6096.0,Nebraska City,NE,1,Conventional Steam Coal,S,651.6,,,,2020 Vulnerable,2030.0,,,,,,,,,,,,
6738,14127,Omaha Public Power District,6096.0,Nebraska City,NE,2,Conventional Steam Coal,S,738.0,,,,Other Remaining,,,,,,,,,,,,,
6739,14232,Otter Tail Power Co,6098.0,Big Stone,SD,1,Conventional Steam Coal,J,450.0,,,,2025 Vulnerable,,,,Montana-Dakota Utilities Co,0.227,NorthWestern Energy - (SD),0.234,Otter Tail Power Co,0.539,,,,
6746,14354,PacifiCorp,6101.0,Wyodak,WY,1,Conventional Steam Coal,J,402.3,,,,2020 Vulnerable,2028.0,,,PacifiCorp,0.8,"Black Hills Power, Inc. d/b/a",0.2,,,,,,
6751,15248,Portland General Electric Co,6106.0,Boardman,OR,1,Conventional Steam Coal,J,642.2,,,,Announced,,,,Portland General Electric Co,0.9,,,,,,,,
6759,15470,"Duke Energy Indiana, LLC",6113.0,Gibson,IN,1,Conventional Steam Coal,S,667.9,,,47.81310722,2025 Vulnerable,,,,,,,,,,,,,
6760,15470,"Duke Energy Indiana, LLC",6113.0,Gibson,IN,2,Conventional Steam Coal,S,667.9,,,50.82160513,2025 Vulnerable,,,,,,,,,,,,,
6761,15470,"Duke Energy Indiana, LLC",6113.0,Gibson,IN,3,Conventional Steam Coal,S,667.9,,,49.09781422,2025 Vulnerable,,,,,,,,,,,,,
6762,15470,"Duke Energy Indiana, LLC",6113.0,Gibson,IN,4,Conventional Steam Coal,S,667.9,,,45.83027747,2025 Vulnerable,,,,,,,,,,,,,
6763,15470,"Duke Energy Indiana, LLC",6113.0,Gibson,IN,5,Conventional Steam Coal,J,667.9,,,46.127634,2020 Vulnerable,2025.0,,,Indiana Municipal Power Agency,0.2495,"Duke Energy Indiana, LLC",0.5005,"Wabash Valley Power Assn, Inc",0.25,,,,
6772,7140,Georgia Power Co,6124.0,McIntosh,GA,1,Conventional Steam Coal,S,177.6,,,,2020 Vulnerable,2020.0,,,,,,,,,,,,
6816,18715,Texas Municipal Power Agency,6136.0,Gibbons Creek,TX,1,Conventional Steam Coal,S,453.5,,,,2020 Vulnerable,2020.0,,,,,,,,,,,,
6817,17633,Southern Indiana Gas & Elec Co,6137.0,A B Brown,IN,1,Conventional Steam Coal,S,265.2,,,,,,,,,,,,,,,,,
6818,17633,Southern Indiana Gas & Elec Co,6137.0,A B Brown,IN,2,Conventional Steam Coal,S,265.2,,,,,,,,,,,,,,,,,
6821,17698,Southwestern Electric Power Co,6138.0,Flint Creek,AR,1,Conventional Steam Coal,J,558.0,,,,2020 Vulnerable,2030.0,,,Arkansas Electric Coop Corp,0.5,Southwestern Electric Power Co,0.5,,,,,,
6822,17698,Southwestern Electric Power Co,6139.0,Welsh,TX,1,Conventional Steam Coal,S,558.0,,,,Other Remaining,,,-24.0,,,,,,,,,,
6823,17698,Southwestern Electric Power Co,6139.0,Welsh,TX,3,Conventional Steam Coal,S,558.0,,,,Other Remaining,,,-17.0,,,,,,,,,,
6841,55983,Luminant Generation Company LLC,6146.0,Martin Lake,TX,1,Conventional Steam Coal,S,793.2,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
6842,55983,Luminant Generation Company LLC,6146.0,Martin Lake,TX,2,Conventional Steam Coal,S,793.2,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
6843,55983,Luminant Generation Company LLC,6146.0,Martin Lake,TX,3,Conventional Steam Coal,S,793.2,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
6844,55983,Luminant Generation Company LLC,6147.0,Monticello,TX,1,Conventional Steam Coal,S,593.4,,,,,,,,,,,,,,,,,
6845,55983,Luminant Generation Company LLC,6147.0,Monticello,TX,2,Conventional Steam Coal,S,593.4,,,,,,,,,,,,,,,,,
6846,55983,Luminant Generation Company LLC,6147.0,Monticello,TX,3,Conventional Steam Coal,S,793.2,,,,,,,,,,,,,,,,,
6857,19436,Union Electric Co - (MO),6155.0,Rush Island,MO,1,Conventional Steam Coal,S,621.0,,,,2020 Vulnerable,2030.0,,,,,,,,,,,,
6858,19436,Union Electric Co - (MO),6155.0,Rush Island,MO,2,Conventional Steam Coal,S,621.0,,,,2020 Vulnerable,2030.0,,,,,,,,,,,,
6899,14354,PacifiCorp,6165.0,Hunter,UT,1,Conventional Steam Coal,J,525.0,,,,2020 Vulnerable,2030.0,,,PacifiCorp,0.9375,,,,,,,,
6900,14354,PacifiCorp,6165.0,Hunter,UT,2,Conventional Steam Coal,J,525.0,,,,2020 Vulnerable,2030.0,,,PacifiCorp,0.6031,Deseret Generation & Tran Coop,0.251,Utah Associated Mun Power Sys,0.1459,,,,
6901,14354,PacifiCorp,6165.0,Hunter,UT,3,Conventional Steam Coal,S,527.2,,,,2020 Vulnerable,2030.0,,,,,,,,,,,,
6902,9324,Indiana Michigan Power Co,6166.0,Rockport,IN,1,Conventional Steam Coal,J,1300.0,,,,2020 Vulnerable,2028.0,,,AEP Generating Company,0.35,Indiana Michigan Power Co,0.5,Kentucky Power Co,0.15,,,,
6903,9324,Indiana Michigan Power Co,6166.0,Rockport,IN,2,Conventional Steam Coal,J,1300.0,,,,Other Remaining,,,,AEP Generating Company,0.35,Indiana Michigan Power Co,0.5,Kentucky Power Co,0.15,,,,
6913,20847,Wisconsin Electric Power Co,6170.0,Pleasant Prairie,WI,1,Conventional Steam Coal,S,616.6,,,,,,,,,,,,,,,,,
6914,20847,Wisconsin Electric Power Co,6170.0,Pleasant Prairie,WI,2,Conventional Steam Coal,S,616.6,,,,,,,,,,,,,,,,,
6930,16572,Salt River Project,6177.0,Coronado,AZ,CO1,Conventional Steam Coal,S,410.9,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
6931,16572,Salt River Project,6177.0,Coronado,AZ,CO2,Conventional Steam Coal,S,410.9,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
6932,56570,Coleto Creek Power LP,6178.0,Coleto Creek,TX,1,Conventional Steam Coal,W,622.4,,,,2025 Vulnerable,2030.0,,,"IPR-GDF Suez NA, Generation",1.0,,,,,,,,
6933,11269,Lower Colorado River Authority,6179.0,Fayette Power Project,TX,1,Conventional Steam Coal,J,615.0,,,,,,,,Austin Energy,0.5,Lower Colorado River Authority,0.5,,,,,,
6934,11269,Lower Colorado River Authority,6179.0,Fayette Power Project,TX,2,Conventional Steam Coal,J,615.0,,,,Other Remaining,,,,Austin Energy,0.5,Lower Colorado River Authority,0.5,,,,,,
6935,11269,Lower Colorado River Authority,6179.0,Fayette Power Project,TX,3,Conventional Steam Coal,S,460.0,,,,Other Remaining,,,,,,,,,,,,,
6936,55983,Luminant Generation Company LLC,6180.0,Oak Grove (TX),TX,OG1,Conventional Steam Coal,S,916.8,,,,Other Remaining,,,,,,,,,,,,,
6937,55983,Luminant Generation Company LLC,6180.0,Oak Grove (TX),TX,OG2,Conventional Steam Coal,S,878.6,,,,Other Remaining,,,,,,,,,,,,,
6938,16604,City of San Antonio - (TX),6181.0,J T Deely,TX,1,Conventional Steam Coal,S,486.0,,,,,,,,,,,,,,,,,
6939,16604,City of San Antonio - (TX),6181.0,J T Deely,TX,2,Conventional Steam Coal,S,446.0,,,,,,,,,,,,,,,,,
6940,16624,"San Miguel Electric Coop, Inc",6183.0,San Miguel,TX,1,Conventional Steam Coal,S,410.0,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
6947,3265,Cleco Power LLC,6190.0,Brame Energy Center,LA,2,Conventional Steam Coal,J,558.0,,,,2025 Vulnerable,2030.0,,,Cleco Power LLC,0.3,Louisiana Energy & Power Authority,0.2,Lafayette Utilities System,0.5,,,,
6948,3265,Cleco Power LLC,6190.0,Brame Energy Center,LA,3,Petroleum Coke,S,703.8,,,,Other Remaining,,,,,,,,,,,,,
6949,17718,Southwestern Public Service Co,6193.0,Harrington,TX,1,Conventional Steam Coal,S,360.0,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
6950,17718,Southwestern Public Service Co,6193.0,Harrington,TX,2,Conventional Steam Coal,S,360.0,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
6951,17718,Southwestern Public Service Co,6193.0,Harrington,TX,3,Conventional Steam Coal,S,360.0,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
6952,17718,Southwestern Public Service Co,6194.0,Tolk,TX,1,Conventional Steam Coal,S,567.9,,,,2020 Vulnerable,2024.0,,,,,,,,,,,,
6953,17718,Southwestern Public Service Co,6194.0,Tolk,TX,2,Conventional Steam Coal,S,567.9,,,,2020 Vulnerable,2024.0,,,,,,,,,,,,
6956,17833,City Utilities of Springfield - (MO),6195.0,John Twitty Energy Center,MO,ST1,Conventional Steam Coal,S,194.0,,,,2020 Vulnerable,2029.0,-6.0,-22.0,,,,,,,,,,
6957,17833,City Utilities of Springfield - (MO),6195.0,John Twitty Energy Center,MO,ST2,Conventional Steam Coal,S,300.0,,,,2025 Vulnerable,2029.0,-4.0,-46.0,,,,,,,,,,
6983,1307,Basin Electric Power Coop,6204.0,Laramie River Station,WY,1,Conventional Steam Coal,J,570.0,,,,Other Remaining,,,,Lincoln Electric System,0.3316,Missouri Basin Muni Power Agny,0.4947,,,,,,
6984,1307,Basin Electric Power Coop,6204.0,Laramie River Station,WY,2,Conventional Steam Coal,J,570.0,,,,Other Remaining,,,,Basin Electric Power Coop,0.5921,"Tri-State G & T Assn, Inc",0.3614,,,,,,
6985,1307,Basin Electric Power Coop,6204.0,Laramie River Station,WY,3,Conventional Steam Coal,J,570.0,,,,Other Remaining,,,,Basin Electric Power Coop,0.5921,"Tri-State G & T Assn, Inc",0.3614,,,,,,
6995,9267,"Hoosier Energy R E C, Inc",6213.0,Merom,IN,1,Conventional Steam Coal,S,540.0,,,,Other Remaining,,,,,,,,,,,,,
6996,9267,"Hoosier Energy R E C, Inc",6213.0,Merom,IN,2,Conventional Steam Coal,S,540.0,,,,Other Remaining,,,,,,,,,,,,,
7014,15466,Public Service Co of Colorado,6248.0,Pawnee,CO,1,Conventional Steam Coal,S,552.3,565470331.7,2041.0,54.5340353,2025 Vulnerable,2030.0,,,,,,,,,,,,
7015,17543,South Carolina Public Service Authority,6249.0,Winyah,SC,1,Conventional Steam Coal,S,315.0,,,,2020 Vulnerable,2024.0,,,,,,,,,,,,
7016,17543,South Carolina Public Service Authority,6249.0,Winyah,SC,2,Conventional Steam Coal,S,315.0,,,,2020 Vulnerable,2024.0,,,,,,,,,,,,
7017,17543,South Carolina Public Service Authority,6249.0,Winyah,SC,3,Conventional Steam Coal,S,315.0,,,,2020 Vulnerable,2024.0,,,,,,,,,,,,
7018,17543,South Carolina Public Service Authority,6249.0,Winyah,SC,4,Conventional Steam Coal,S,315.0,,,,2020 Vulnerable,2024.0,,,,,,,,,,,,
7019,3046,Duke Energy Progress - (NC),6250.0,Mayo,NC,1,Conventional Steam Coal,S,763.2,569261851.2,2035.0,97.72984532,2025 Vulnerable,2029.0,,,,,,,,,,,,
7027,9417,Interstate Power and Light Co,6254.0,Ottumwa,IA,1,Conventional Steam Coal,J,725.9,,,,Other Remaining,,,,Interstate Power and Light Co,0.48,MidAmerican Energy Co,0.52,,,,,,
7028,7140,Georgia Power Co,6257.0,Scherer,GA,1,Conventional Steam Coal,J,891.0,63615099.42,2060.0,56.21444829,Other Remaining,,,,Municipal Electric Authority,0.302,Oglethorpe Power Corporation,0.6,,,,,,
7029,7140,Georgia Power Co,6257.0,Scherer,GA,2,Conventional Steam Coal,J,891.0,62630321.21,2062.0,56.78299102,Other Remaining,,,,Municipal Electric Authority,0.302,Oglethorpe Power Corporation,0.6,,,,,,
7030,7140,Georgia Power Co,6257.0,Scherer,GA,3,Conventional Steam Coal,J,891.0,587190325.4,2058.0,57.47406401,Other Remaining,,,,Georgia Power Co,0.75,Gulf Power Co,0.25,,,,,,
7031,7140,Georgia Power Co,6257.0,Scherer,GA,4,Conventional Steam Coal,J,891.0,,,,Other Remaining,,,,Florida Power & Light Co,0.764,JEA,0.236,,,,,,
7039,733,Appalachian Power Co,6264.0,Mountaineer,WV,1,Conventional Steam Coal,S,1300.0,,,,Other Remaining,,,,,,,,,,,,,
7061,7353,Golden Valley Elec Assn Inc,6288.0,Healy,AK,1,Conventional Steam Coal,S,28.0,,,,Other Remaining,,,,,,,,,,,,,
7062,7353,Golden Valley Elec Assn Inc,6288.0,Healy,AK,2,Conventional Steam Coal,S,62.0,,,,Other Remaining,,,,,,,,,,,,,
7308,1307,Basin Electric Power Coop,6469.0,Antelope Valley,ND,1,Conventional Steam Coal,S,434.9,,,,Other Remaining,,,,,,,,,,,,,
7309,1307,Basin Electric Power Coop,6469.0,Antelope Valley,ND,2,Conventional Steam Coal,S,434.9,,,,Other Remaining,,,,,,,,,,,,,
7330,11208,Los Angeles Department of Water & Power,6481.0,Intermountain Power Project,UT,1,Conventional Steam Coal,W,820.0,,,,,,,,Intermountain Power Agency,1.0,,,,,,,,
7331,11208,Los Angeles Department of Water & Power,6481.0,Intermountain Power Project,UT,2,Conventional Steam Coal,W,820.0,,,,,,,,Intermountain Power Agency,1.0,,,,,,,,
7515,1692,Big Rivers Electric Corp,6639.0,R D Green,KY,1,Conventional Steam Coal,S,293.0,,,,2025 Vulnerable,2023.0,,,,,,,,,,,,
7516,1692,Big Rivers Electric Corp,6639.0,R D Green,KY,2,Conventional Steam Coal,S,293.0,,,,2025 Vulnerable,2023.0,,,,,,,,,,,,
7517,814,Entergy Arkansas Inc,6641.0,Independence Steam Electric Station,AR,1,Conventional Steam Coal,J,900.0,,,,Announced,,0.0,-30.0,Arkansas Electric Coop Corp,0.35,Entergy Arkansas Inc,0.315,Entergy Mississippi Inc,0.25,,,,
7518,814,Entergy Arkansas Inc,6641.0,Independence Steam Electric Station,AR,2,Conventional Steam Coal,J,900.0,,,,Announced,,,-25.0,Arkansas Electric Coop Corp,0.35,City Water and Light Plant,0.15,Entergy Mississippi Inc,0.25,"Entergy Power, LLC",0.144,,
7525,55983,Luminant Generation Company LLC,6648.0,Sandow No 4,TX,4,Conventional Steam Coal,S,590.6,,,,,,,,,,,,,,,,,
7529,12341,MidAmerican Energy Co,6664.0,Louisa,IA,1,Conventional Steam Coal,J,811.9,,,37.31165141,2020 Vulnerable,2030.0,,,MidAmerican Energy Co,0.88,,,,,,,,
7565,261,AGC Division of APG Inc,6705.0,Warrick,IN,1,Conventional Steam Coal,S,166.6,,,,2025 Vulnerable,2025.0,,,,,,,,,,,,
7566,261,AGC Division of APG Inc,6705.0,Warrick,IN,2,Conventional Steam Coal,S,166.6,,,,2025 Vulnerable,2025.0,,,,,,,,,,,,
7567,261,AGC Division of APG Inc,6705.0,Warrick,IN,3,Conventional Steam Coal,S,166.6,,,,2025 Vulnerable,2025.0,,,,,,,,,,,,
7568,261,AGC Division of APG Inc,6705.0,Warrick,IN,4,Conventional Steam Coal,J,323.0,,,,2025 Vulnerable,2025.0,,,AGC Division of APG Inc,0.5,Southern Indiana Gas & Elec Co,0.5,,,,,,
7570,15143,Platte River Power Authority,6761.0,Rawhide,CO,1,Conventional Steam Coal,S,293.6,,,,2020 Vulnerable,2030.0,,,,,,,,,,,,
7576,17177,City of Sikeston - (MO),6768.0,Sikeston Power Station,MO,1,Conventional Steam Coal,S,261.0,,,,2020 Vulnerable,2030.0,1.0,-34.0,,,,,,,,,,
7577,20447,"Western Farmers Elec Coop, Inc",6772.0,Hugo,OK,1,Conventional Steam Coal,S,446.0,,,,2020 Vulnerable,2030.0,-2.0,-47.0,,,,,,,,,,
7591,1692,Big Rivers Electric Corp,6823.0,D B Wilson,KY,1,Conventional Steam Coal,S,509.4,,,,Other Remaining,,,,,,,,,,,,,
7615,56598,"Major Oak Power, LLC",7030.0,Major Oak Power,TX,1,Conventional Steam Coal,S,174.6,,,,Other Remaining,,,,,,,,,,,,,
7616,56598,"Major Oak Power, LLC",7030.0,Major Oak Power,TX,2,Conventional Steam Coal,S,174.6,,,,Other Remaining,,,,,,,,,,,,,
7665,16604,City of San Antonio - (TX),7097.0,J K Spruce,TX,1,Conventional Steam Coal,S,566.0,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
7666,16604,City of San Antonio - (TX),7097.0,J K Spruce,TX,2,Conventional Steam Coal,S,878.0,,,,2020 Vulnerable,2030.0,,,,,,,,,,,,
7778,17539,South Carolina Electric&Gas Company,7210.0,Cope,SC,ST1,Conventional Steam Coal,S,417.3,,,,Other Remaining,,,,,,,,,,,,,
7783,19876,Virginia Electric & Power Co,7213.0,Clover,VA,1,Conventional Steam Coal,J,424.0,195385466.6,2050.0,53.86990227,2020 Vulnerable,2025.0,,,Virginia Electric & Power Co,0.5,Old Dominion Electric Coop,0.5,,,,,,
7784,19876,Virginia Electric & Power Co,7213.0,Clover,VA,2,Conventional Steam Coal,J,424.0,191364890.0,2051.0,52.68560846,2020 Vulnerable,2025.0,,,Virginia Electric & Power Co,0.5,Old Dominion Electric Coop,0.5,,,,,,
7801,18454,Tampa Electric Co,7242.0,Polk,FL,1CA,Petroleum Coke,S,133.4,,,,Other Remaining,,,,,,,,,,,,,
7802,18454,Tampa Electric Co,7242.0,Polk,FL,1CT,Coal Integrated Gasification Combined Cycle,S,192.9,,,,Other Remaining,,,,,,,,,,,,,
7911,12341,MidAmerican Energy Co,7343.0,George Neal South,IA,4,Conventional Steam Coal,J,695.9,,,46.86313363,2020 Vulnerable,2025.0,,,Interstate Power and Light Co,0.257,MidAmerican Energy Co,0.4057,,,,,,
8112,19545,"Black Hills Power, Inc. d/b/a",7504.0,Neil Simpson II,WY,2,Conventional Steam Coal,S,90.0,,,,Other Remaining,,,,,,,,,,,,,
8324,40230,Deseret Generation & Tran Coop,7790.0,Bonanza,UT,1,Conventional Steam Coal,J,499.5,,,,,,,,Deseret Generation & Tran Coop,0.9625,,,,,,,,
8579,17698,Southwestern Electric Power Co,7902.0,Pirkey,TX,1,Conventional Steam Coal,J,721.0,,,,2025 Vulnerable,2025.0,-112.0,-70.0,"Northeast Texas Elec Coop, Inc",0.1172,Southwestern Electric Power Co,0.8594,,,,,,
8860,20856,Wisconsin Power & Light Co,8023.0,Columbia (WI),WI,1,Conventional Steam Coal,J,556.0,153342956.4,2033.0,48.42152387,2020 Vulnerable,2030.0,,,Madison Gas & Electric Co,0.204,Wisconsin Power & Light Co,0.501,Wisconsin Public Service Corp,0.295,,,,
8861,20856,Wisconsin Power & Light Co,8023.0,Columbia (WI),WI,2,Conventional Steam Coal,J,556.0,170494622.5,2035.0,39.6731494,2020 Vulnerable,2030.0,,,Madison Gas & Electric Co,0.204,Wisconsin Power & Light Co,0.501,Wisconsin Public Service Corp,0.295,,,,
8889,5416,"Duke Energy Carolinas, LLC",8042.0,Belews Creek,NC,1,Conventional Steam Coal,S,1245.6,,,,Other Remaining,,,,,,,,,,,,,
8890,5416,"Duke Energy Carolinas, LLC",8042.0,Belews Creek,NC,2,Conventional Steam Coal,S,1245.6,,,,Other Remaining,,,,,,,,,,,,,
8922,14354,PacifiCorp,8066.0,Jim Bridger,WY,1,Conventional Steam Coal,J,608.3,,,,2020 Vulnerable,2022.0,,,Idaho Power Co,0.3333,PacifiCorp,0.6667,,,,,,
8923,14354,PacifiCorp,8066.0,Jim Bridger,WY,2,Conventional Steam Coal,J,617.0,,,,2020 Vulnerable,2022.0,,,Idaho Power Co,0.3333,PacifiCorp,0.6667,,,,,,
8924,14354,PacifiCorp,8066.0,Jim Bridger,WY,3,Conventional Steam Coal,J,608.3,,,,2020 Vulnerable,2026.0,,,Idaho Power Co,0.3333,PacifiCorp,0.6667,,,,,,
8925,14354,PacifiCorp,8066.0,Jim Bridger,WY,4,Conventional Steam Coal,J,608.3,,,,2020 Vulnerable,2026.0,,,Idaho Power Co,0.3333,PacifiCorp,0.6667,,,,,,
8937,14354,PacifiCorp,8069.0,Huntington,UT,1,Conventional Steam Coal,S,541.3,,,,2020 Vulnerable,2030.0,,,,,,,,,,,,
8938,14354,PacifiCorp,8069.0,Huntington,UT,2,Conventional Steam Coal,S,496.0,,,,2020 Vulnerable,2030.0,,,,,,,,,,,,
8959,61135,"Gavin Power, LLC",8102.0,"Gavin Power, LLC",OH,1,Conventional Steam Coal,W,1300.0,,,,Other Remaining,,,,Lightstone Generation LLC,1.0,,,,,,,,
8960,61135,"Gavin Power, LLC",8102.0,"Gavin Power, LLC",OH,2,Conventional Steam Coal,W,1300.0,,,,Other Remaining,,,,Lightstone Generation LLC,1.0,,,,,,,,
8974,3989,City of Colorado Springs - (CO),8219.0,Ray D Nixon,CO,1,Conventional Steam Coal,S,207.0,,,,2025 Vulnerable,2030.0,,,,,,,,,,,,
8977,14232,Otter Tail Power Co,8222.0,Coyote,ND,1,Conventional Steam Coal,J,450.0,,,,Other Remaining,,,,Montana-Dakota Utilities Co,0.25,"Minnkota Power Coop, Inc",0.3,Otter Tail Power Co,0.35,,,,
8978,24211,Tucson Electric Power Co,8223.0,Springerville,AZ,1,Conventional Steam Coal,S,424.8,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
8979,24211,Tucson Electric Power Co,8223.0,Springerville,AZ,2,Conventional Steam Coal,S,424.8,,,,2020 Vulnerable,2028.0,,,,,,,,,,,,
8980,24211,Tucson Electric Power Co,8223.0,Springerville,AZ,3,Conventional Steam Coal,W,458.1,,,,2020 Vulnerable,2030.0,,,Springerville Unit 3 Holding LLC,1.0,,,,,,,,
8981,24211,Tucson Electric Power Co,8223.0,Springerville,AZ,4,Conventional Steam Coal,W,458.1,,,,2020 Vulnerable,2030.0,,,Salt River Project,1.0,,,,,,,,
8985,17166,Sierra Pacific Power Co,8224.0,North Valmy,NV,1,Conventional Steam Coal,J,277.2,,,,Announced,,,,Idaho Power Co,0.5,Sierra Pacific Power Co,0.5,,,,,,
8986,17166,Sierra Pacific Power Co,8224.0,North Valmy,NV,2,Conventional Steam Coal,J,289.8,,,,Announced,,,,Idaho Power Co,0.5,Sierra Pacific Power Co,0.5,,,,,,
8990,14165,NRG Power Midwest LP,8226.0,Cheswick Power Plant,PA,1,Conventional Steam Coal,S,637.0,,,,2020 Vulnerable,2025.0,,,,,,,,,,,,
9042,5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,17TG,Conventional Steam Coal,S,15.0,,,,,,,,,,,,,,,,,
9043,5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,22TG,Conventional Steam Coal,S,12.5,,,,,,,,,,,,,,,,,
9044,5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,41TG,Conventional Steam Coal,S,25.6,,,,,,,,,,,,,,,,,
9045,5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,42TG,Conventional Steam Coal,S,25.6,,,,,,,,,,,,,,,,,
9046,5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,43TG,Conventional Steam Coal,S,25.6,,,,,,,,,,,,,,,,,
9047,5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,44TG,Conventional Steam Coal,S,25.6,,,,,,,,,,,,,,,,,
9048,5624,"RED-Rochester, LLC",10025.0,"RED-Rochester, LLC",NY,75TG,Conventional Steam Coal,S,3.0,,,,,,,,,,,,,,,,,
9072,14932,US Operating Services Company,10043.0,Logan Generating Company LP,NJ,GEN1,Conventional Steam Coal,W,242.3,,,,2020 Vulnerable,2025.0,,,Keystone Urban Renewal LP,1.0,,,,,,,,
9101,12647,"ALLETE, Inc.",10075.0,Taconite Harbor Energy Center,MN,GEN1,Conventional Steam Coal,S,84.0,,,,,,,,,,,,,,,,,
9102,12647,"ALLETE, Inc.",10075.0,Taconite Harbor Energy Center,MN,GEN2,Conventional Steam Coal,S,84.0,,,,,,,,,,,,,,,,,
9116,7199,Gilberton Power Co,10113.0,John B Rich Memorial Power Station,PA,GEN1,Conventional Steam Coal,S,88.4,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
9139,9379,"Inter-Power/AhlCon Partners, L.P.",10143.0,Colver Power Project,PA,COLV,Conventional Steam Coal,W,118.0,,,,,,,,TIFD VIII-W Inc,1.0,,,,,,,,
9143,563,American Bituminous Power LP,10151.0,Grant Town Power Plant,WV,GEN1,Conventional Steam Coal,S,95.7,,,,Other Remaining,,,,,,,,,,,,,
9242,60660,Catalyst Paper - Biron Mill,10234.0,Biron Mill,WI,GEN1,Conventional Steam Coal,S,17.0,,,,,,,,,,,,,,,,,
